product_id,product_name,category,subcategory,brand,unit_cost,unit_price,weight_kg,is_active,launch_date
1,SmartLife Smartphones  400,Electronics,Smartphones,ViewMax,612.93,1179.24,1.38,no,07/10/2023
2,FitGear Smartphones Pro 221,Electronics,Smartphones,SmartLife,651.4,860.63,1.94,0,2018-05-10
3,ClearSound Smartphones  541,Electronics,Smartphones,FitGear,48.07,100.53,2.49,N,2021-05-26
4,ViewMax Laptops Pro 618,Electronics,Laptops,FitGear,534.86,1062.58,3.0,Y,2023-05-04
5,TechPro Laptops  146,Electronics,Laptops,HomeChef,501.21,1239.66,4.07,N,2021-08-05
6,HomeChef Laptops Pro 521,Electronics,,SoundWave,616.85,1083.61,1.31,1,10/20/2022
7,TechPro Laptops  120,Electronics,Laptops,FitGear,482.17,664.72,3.32,yes,2021-06-02
8,ViewMax Laptops  424,Electronics,Laptops,HomeChef,463.08,750.16,2.91,0,2023-04-08
9,SmartLife Laptops Pro 447,Electronics,Laptops,HomeChef,98.04,166.98,4.85,N,22/08/2023
10,HomeChef Tablets  404,Electronics,Tablets,SoundWave,515.65,716.95,3.16,yes,2020-05-26
11,TechPro Tablets Pro 643,Electronics,Tablets,HomeChef,579.81,1165.56,4.0,0,01/24/2021
12,SoundWave Tablets  357,Electronics,Tablets,ClearSound,413.62,867.01,3.84,yes,07/07/2021
13,ViewMax Tablets  776,Electronics,Tablets,FitGear,707.1,1357.26,1.41,YES,2020-02-04
14,HomeChef Tablets  346,Electronics,Tablets,SmartLife,749.02,1027.55,1.57,N,2020-04-01
15,SmartLife Tablets  943,Electronics,Tablets,HomeChef,340.0,813.74,3.47,1,13/04/2020
16,FitGear Headphones  546,Electronics,Headphones,TechPro,206.02,274.68,1.09,0,06/25/2021
17,ClearSound Headphones Pro 839,Electronics,Headphones,TechPro,126.42,286.25,4.31,0,2019-12-22
18,HomeChef Headphones Pro 192,Electronics,Headphones,ClearSound,264.85,364.51,4.23,0,26/07/2022
19,ClearSound Headphones Pro 893,Electronics,Headphones,TechPro,107.31,259.64,1.27,yes,2023-11-08
20,SmartLife Headphones Pro 341,Electronics,Headphones,TechPro,623.09,1432.36,0.96,0,05/17/2022
21,ViewMax Headphones  215,Electronics,Headphones,FitGear,362.79,728.26,3.45,1,07/02/2023
22,ClearSound Cameras Pro 720,Electronics,Cameras,ClearSound,303.14,692.87,4.01,Y,2018-03-28
23,HomeChef Cameras Pro 817,Electronics,Cameras,ClearSound,558.73,887.05,0.7,1,25/04/2022
24,HomeChef Cameras  942,Electronics,Cameras,SoundWave,688.96,1647.82,4.31,YES,29/05/2022
25,SmartLife Cameras  987,Electronics,Cameras,FitGear,734.39,1729.75,2.41,Y,2022-07-23
26,ClearSound Coffee Makers  167,Home & Kitchen,Coffee Makers,ClearSound,579.56,1323.88,4.09,1,10/19/2019
27,ClearSound Coffee Makers  756,Home & Kitchen,,SoundWave,-373.54,-508.96,3.18,N,01/23/2020
28,SmartLife Coffee Makers Pro 520,Home & Kitchen,Coffee Makers,FitGear,469.13,750.38,2.44,YES,17/06/2019
29,SoundWave Coffee Makers  476,Home & Kitchen,Coffee Makers,FitGear,223.33,511.9,4.73,N,28/02/2021
30,TechPro Coffee Makers Pro 303,Home & Kitchen,Coffee Makers,SoundWave,-36.17,-71.26,0.34,1,2020-07-25
31,TechPro Blenders Pro 545,Home & Kitchen,Blenders,FitGear,136.42,205.2,4.15,YES,2019-04-26
32,HomeChef Blenders Pro 491,Home & Kitchen,Blenders,SoundWave,112.44,171.88,3.04,N,12/26/2020
33,TechPro Blenders  368,Home & Kitchen,Blenders,SoundWave,586.83,889.89,1.91,N,2019-08-21
34,ClearSound Blenders  492,Home & Kitchen,Blenders,ViewMax,86.88,203.8,1.36,no,2022-06-17
35,HomeChef Blenders Pro 786,Home & Kitchen,Blenders,ClearSound,454.46,1098.56,4.07,YES,2023-04-13
36,SoundWave Air Fryers Pro 672,Home & Kitchen,Air Fryers,HomeChef,413.54,1022.7,0.93,Y,2022-02-28
37,ClearSound Air Fryers Pro 245,Home & Kitchen,Air Fryers,TechPro,745.66,1087.4,4.89,1,2021-07-23
38,HomeChef Air Fryers Pro 369,Home & Kitchen,Air Fryers,HomeChef,699.91,1537.97,2.63,yes,2022-10-28
39,ViewMax Air Fryers Pro 773,Home & Kitchen,Air Fryers,TechPro,716.28,1786.03,1.03,no,2019-09-12
40,FitGear Air Fryers  606,Home & Kitchen,Air Fryers,ClearSound,199.29,321.31,2.85,Y,2023-03-29
41,TechPro Vacuum Cleaners  390,Home & Kitchen,Vacuum Cleaners,ClearSound,107.74,159.2,2.59,N,12/02/2021
