item_id,order_id,product_id,quantity,unit_price,discount_amount,line_total
1,1,47,2,552.03,68.76,1035.3
2,1,48,1,596.07,10.37,585.7
3,2,72,3,1767.87,27.13,5276.48
4,2,26,5,1323.88,72.07,6547.33
5,2,38,4,1537.97,495.69,5656.19
6,3,39,4,1786.03,615.74,6528.38
7,4,1,5,1179.24,747.38,5148.82
8,4,46,1,371.49,39.33,332.16
9,4,74,4,1271.91,806.65,4280.99
10,5,19,3,259.64,69.78,709.14
11,5,53,5,585.07,479.78,2445.57
12,5,35,4,1098.56,155.41,4238.83
13,6,56,4,381.0,121.24,1402.76
14,6,96,4,726.43,50.52,2855.2
15,6,71,4,213.46,129.4,724.44
16,7,22,3,692.87,404.02,1674.59
17,7,88,5,1687.23,607.79,7828.36
18,8,86,3,183.67,30.09,520.92
19,9,70,2,1150.5,250.56,2050.44
20,9,75,1,663.01,106.68,556.33
21,9,78,2,657.41,166.1,1148.72
22,10,,1,1062.58,81.94,980.64
23,11,75,1,663.01,48.24,614.77
24,9566,88,2,1687.23,458.18,2916.28
25,12,6,2,1083.61,105.94,2061.28
26,13,80,3,849.32,307.99,2239.97
27,9715,41,4,159.2,115.14,439.28
28,15,96,1,726.43,138.2,588.23
29,15,97,2,645.35,242.4,1048.3
30,15,66,4,1042.3,94.83,4074.37
31,15,80,1,849.32,19.29,830.03
32,16,62,2,1461.17,311.54,2610.8
33,17,94,5,1439.69,13.92,7184.53
34,18,15,2,813.74,272.56,1354.92
35,18,77,2,1121.7,79.84,2163.56
36,19,92,4,230.09,70.75,849.61
37,20,13,4,1357.26,507.42,4921.62
38,21,50,4,676.46,367.8,2338.04
39,22,56,4,381.0,242.21,1281.79
40,23,13,3,1357.26,153.75,3918.03
41,24,22,2,692.87,11.31,1374.43
42,24,44,2,753.2,193.04,1466.73
43,25,10,1,716.95,95.32,621.63
44,25,65,3,183.7,18.06,533.04
45,26,33,4,889.89,321.84,3237.72
46,27,84,4,1628.79,511.71,6003.45
47,27,42,-3,714.2,307.63,1834.97
48,27,83,5,195.65,192.11,786.14
49,27,16,5,274.68,249.35,1124.05
50,28,33,1,889.89,76.03,813.86
51,28,77,1,1121.7,81.63,1040.07
52,28,61,3,736.96,378.44,1832.44
53,29,70,3,1150.5,648.3,2803.2
54,30,81,1,962.42,31.48,930.94
55,30,85,5,1350.75,34.09,6719.66
56,30,85,5,1350.75,162.73,6591.02
57,30,36,3,1022.7,428.74,2639.36
58,31,44,2,753.2,80.74,1425.66
59,32,58,4,442.47,108.47,1661.41
60,32,6,2,1083.61,383.3,1783.92
61,33,40,4,321.31,129.76,1155.48
62,33,94,2,1439.69,34.16,2845.22
63,33,35,5,1098.56,619.62,4873.18
64,33,59,2,804.2,199.25,1409.15
65,34,88,1,1687.23,55.14,1632.09
66,35,86,4,183.67,28.72,705.96
67,35,37,3,1087.4,88.29,3173.91
68,36,87,3,1125.48,88.38,3288.06
69,37,22,2,692.87,131.18,1254.56
70,38,1,4,1179.24,595.06,4121.9
71,39,15,3,813.74,337.45,2103.77
72,39,89,3,1331.29,141.43,3852.44
73,40,24,2,1647.82,128.5,3167.14
74,40,92,1,230.09,34.06,196.03
75,41,11,1,1165.56,24.54,1141.02
76,41,43,4,1508.03,773.98,5258.14
77,41,39,2,1786.03,611.75,2960.31
78,42,80,1,849.32,20.9,828.42
79,43,85,4,1350.75,311.51,5091.49
80,43,57,2,584.3,75.54,1093.06
81,43,98,5,1343.69,1091.05,5627.4
82,44,48,1,596.07,95.01,501.06
83,45,31,1,205.2,13.94,191.26
84,45,26,1,1323.88,6.81,1317.07
85,46,96,4,726.43,310.95,2594.77
86,46,,1,726.43,143.51,582.92
87,46,54,5,1358.6,528.84,6264.16
88,46,32,4,171.88,125.56,561.96
89,47,63,5,244.65,233.82,822.23
90,48,45,5,383.12,3.44,2085.9
91,49,1,3,1179.24,538.82,2998.9
92,50,54,5,1358.6,1306.87,5486.13
93,50,11,3,1165.56,522.78,2973.9
94,51,98,4,1343.69,664.2,4710.56
95,51,21,1,728.26,135.67,592.59
96,52,2,4,860.63,153.42,3289.1
97,53,46,5,371.49,136.79,1720.66
98,54,35,4,1098.56,857.13,3537.11
99,54,63,5,244.65,123.27,1099.98
100,54,,5,736.96,472.62,3212.18
101,55,81,1,962.42,7.77,954.65
102,56,36,2,1022.7,233.09,1812.31
103,57,68,3,320.42,147.55,813.71
104,57,2,5,860.63,360.73,3942.42
105,57,63,3,244.65,124.08,609.87
106,58,85,2,1350.75,205.15,2496.35
107,59,36,3,1022.7,357.39,2710.71
108,59,42,4,714.2,213.4,2643.4
109,60,94,5,1439.69,476.32,6722.13
110,61,42,4,714.2,511.97,2344.83
111,62,94,2,1439.69,190.19,2689.19
112,62,38,4,1537.97,563.47,5588.41
113,63,22,2,692.87,236.11,1149.63
114,64,55,3,522.63,275.12,1292.77
115,64,75,5,663.01,408.79,2906.26
116,65,1,1,1179.24,132.14,1047.1
117,66,54,5,1358.6,1005.09,5787.91
