order_id,customer_id,order_date,order_status,channel,region_id,shipping_date,delivery_date,discount_pct,payment_method
1,100,17/11/2022,pending,2,4,11/22/2022,12/05/2022,10.6,credit_card
2,321,2024-07-04,pending,1,10,05/07/2024,07/13/2024,23.38,credit_card
3,421,2022-11-15,delivered,1,8,2022-11-17,2022-11-19,15.63,paypal
4,456,2024-11-21,pending,4,1,11/23/2024,2024-11-24,15.65,afterpay
5,50,2024-06-18,cancelled,2,,06/20/2024,2024-07-04,9.6,afterpay
6,265,11/04/2022,delivered,1,12,11/06/2022,2022-11-08,19.74,afterpay
7,372,06/25/2024,cancelled,1,1,06/27/2024,01/07/2024,14.61,debit_card
8,241,2022-09-25,delivered,1,9,2022-09-28,10/03/2022,16.96,debit_card
9,500,02/15/2022,delivered,2,11,02/17/2022,2022-03-02,17.3,paypal
10,84,08/03/2021,cancelled,1,11,2021-08-04,12/08/2021,5.76,afterpay
11,95,01/14/2021,delivered,1,2,2021-01-15,2021-01-17,11.01,debit_card
12,102,2022-08-05,shipped,3,9,2022-08-07,12/08/2022,4.9,afterpay
13,336,2021-08-16,delivered,3,13,2021-08-18,2021-08-23,4.28,debit_card
14,452,25/09/2021,shipped,3,6,09/27/2021,06/10/2021,24.42,paypal
15,127,2021-04-20,delivered,1,10,23/04/2021,2021-05-07,5.23,credit_card
16,385,11/09/2023,delivered,3,12,2023-11-13,2023-11-22,17.36,debit_card
17,113,20/02/2022,cancelled,4,7,2022-02-22,03/01/2022,23.39,afterpay
18,266,12/22/2022,shipped,1,6,12/27/2022,2022-12-28,11.69,credit_card
19,92,24/06/2023,shipped,1,5,2023-06-27,2023-07-08,12.82,credit_card
20,185,20/03/2021,delivered,3,5,03/22/2021,2021-03-28,20.39,paypal
21,145,2022-12-11,cancelled,2,1,15/12/2022,29/12/2022,12.82,credit_card
22,384,06/03/2022,cancelled,1,13,2022-03-08,2022-03-17,20.36,debit_card
23,225,07/11/2023,delivered,1,3,07/12/2023,18/07/2023,18.45,afterpay
24,218,11/05/2024,cancelled,1,10,2024-11-10,2024-11-15,23.05,debit_card
25,486,2023-03-12,pending,1,6,17/03/2023,2023-03-24,11.29,credit_card
26,309,09/28/2023,pending,4,5,2023-09-30,04/10/2023,7.28,paypal
27,441,22/04/2023,cancelled,4,8,04/24/2023,2023-04-26,9.72,credit_card
28,9146,2023-08-31,shipped,1,4,2023-09-05,2023-09-15,17.12,apple_pay
29,414,2022-05-21,delivered,4,8,05/24/2022,06/03/2022,18.43,afterpay
30,314,2021-12-25,cancelled,2,7,2021-12-27,30/12/2021,22.77,debit_card
31,141,2024-07-10,delivered,2,12,07/13/2024,2024-07-24,5.43,credit_card
32,259,2022-10-30,cancelled,1,1,11/03/2022,2022-11-06,1.83,debit_card
33,204,19/03/2021,pending,2,6,2021-03-22,24/03/2021,11.61,afterpay
34,421,2022-07-26,shipped,2,5,07/28/2022,27/07/2022,18.54,afterpay
35,184,2021-12-31,shipped,4,12,2022-01-01,01/12/2022,15.87,afterpay
36,27,2024-05-10,pending,2,4,05/11/2024,24/05/2024,5.96,credit_card
37,343,05/10/2021,shipped,2,3,11/05/2021,24/05/2021,1.1,apple_pay
38,203,27/05/2023,pending,3,,2023-05-29,06/02/2023,16.35,credit_card
39,320,26/01/2023,pending,1,10,01/27/2023,2023-01-31,24.76,apple_pay
40,167,2024-07-16,delivered,1,12,2024-07-20,07/31/2024,4.38,credit_card
41,312,2024-04-13,cancelled,2,9,04/17/2024,26/04/2024,24.71,credit_card
42,220,2022-05-14,delivered,4,5,05/15/2022,16/05/2022,9.39,paypal
43,163,11/08/2024,pending,2,5,2024-08-16,29/08/2024,5.73,credit_card
44,357,01/04/2022,delivered,4,,05/04/2022,14/04/2022,21.75,credit_card
45,89,28/04/2024,delivered,4,12,04/30/2024,05/04/2024,4.1,apple_pay
46,230,2024-07-25,shipped,1,6,28/07/2024,2024-08-11,4.19,credit_card
47,391,02/21/2023,cancelled,3,10,2023-02-22,03/07/2023,13.82,afterpay
48,288,05/26/2024,cancelled,4,4,2024-05-27,2024-06-02,4.74,afterpay
49,482,20/03/2023,delivered,2,10,23/03/2023,2023-03-30,22.12,paypal
50,395,2022-12-15,delivered,2,1,12/19/2022,2022-12-30,23.16,credit_card
51,341,2024-08-14,shipped,2,3,2024-08-17,2024-08-27,15.05,credit_card
52,365,2023-02-27,cancelled,2,7,03/04/2023,2023-03-06,10.67,credit_card
53,446,2021-07-02,pending,1,3,07/07/2021,2021-07-20,5.24,credit_card
54,50,2021-05-24,delivered,3,12,28/05/2021,2021-06-06,4.41,afterpay
55,291,2022-03-12,shipped,1,13,14/03/2022,2022-03-15,24.57,paypal
56,44,2023-02-13,pending,1,4,2023-02-16,2023-02-18,16.82,debit_card
57,268,01/15/2021,cancelled,1,5,01/20/2021,01/29/2021,11.83,debit_card
58,482,10/01/2023,delivered,3,6,2023-01-14,2023-01-21,0.08,apple_pay
59,144,12/03/2024,shipped,2,8,2024-12-06,12/14/2024,131.9,credit_card
60,497,2022-10-29,delivered,4,12,2022-11-02,2022-11-06,2.03,paypal
61,311,02/04/2022,delivered,1,13,2022-02-06,20/02/2022,12.62,afterpay
62,489,2021-08-25,cancelled,2,13,30/08/2021,09/03/2021,17.5,afterpay
63,393,07/29/2022,shipped,2,2,01/08/2022,2022-08-12,23.07,credit_card
64,176,2023-02-12,delivered,1,7,02/16/2023,27/02/2023,5.59,credit_card
65,483,2021-08-26,delivered,4,10,2021-08-29,09/01/2021,7.77,paypal
66,409,10/23/2024,shipped,2,2,28/10/2024,2024-11-08,13.46,credit_card
67,234,2021-10-29,delivered,1,13,11/01/2021,2021-11-04,0.86,credit_card
68,425,18/03/2022,cancelled,1,13,2022-03-21,02/04/2022,20.7,afterpay
69,373,03/14/2023,delivered,3,7,03/16/2023,17/03/2023,24.76,credit_card
70,439,28/01/2024,cancelled,1,10,29/01/2024,2024-02-01,1.35,credit_card
71,248,20/08/2022,shipped,2,12,2022-08-22,2022-08-26,9.06,credit_card
72,431,11/12/2021,pending,2,1,2021-12-12,18/12/2021,12.89,credit_card
73,61,2022-05-09,cancelled,2,11,2022-05-13,2022-05-18,19.4,paypal
74,324,2024-08-30,cancelled,1,2,09/02/2024,2024-09-03,16.72,apple_pay
75,93,2023-02-26,cancelled,1,6,2023-03-02,2023-03-07,22.72,credit_card
76,266,04/12/2024,delivered,2,2,2024-04-13,2024-04-26,14.98,debit_card
77,295,27/02/2022,delivered,1,,2022-03-01,2022-03-03,24.5,debit_card
78,154,05/04/2021,delivered,2,10,2021-04-08,2021-04-19,7.82,debit_card
79,19,2022-01-21,shipped,2,10,2022-01-24,02/07/2022,14.79,paypal
80,196,08/23/2024,shipped,3,11,27/08/2024,09/04/2024,17.36,apple_pay
81,337,2024-08-19,delivered,2,6,08/24/2024,2024-08-27,10.84,apple_pay
82,57,11/01/2024,delivered,1,6,2024-11-05,2024-11-07,19.45,afterpay
83,497,04/01/2022,cancelled,2,9,04/02/2022,04/15/2022,7.66,apple_pay
84,51,2021-04-09,shipped,3,13,2021-04-12,25/04/2021,24.2,paypal
85,5,07/11/2024,delivered,4,10,2024-11-09,2024-11-20,1.32,debit_card
86,225,2022-12-26,cancelled,4,9,12/31/2022,2023-01-05,22.03,paypal
87,433,2021-07-04,delivered,1,3,2021-07-05,07/07/2021,2.11,afterpay
88,255,11/21/2023,delivered,1,10,26/11/2023,2023-12-08,121.25,apple_pay
89,230,12/12/2021,delivered,3,3,2021-12-17,12/21/2021,23.81,credit_card
90,128,2024-01-10,pending,3,,2024-01-13,2024-01-18,15.78,credit_card
91,9441,2021-01-13,delivered,1,1,17/01/2021,2021-01-23,18.06,apple_pay
92,264,11/11/2021,cancelled,3,4,2021-11-12,2021-11-09,9.36,credit_card
93,430,19/06/2023,shipped,1,6,2023-06-21,2023-06-27,17.73,credit_card
94,170,03/06/2021,shipped,3,2,2021-03-08,2021-03-16,13.75,debit_card
95,57,2021-08-09,pending,1,13,2021-08-11,2021-08-14,1.3,paypal
96,145,23/09/2023,pending,2,9,2023-09-27,01/10/2023,7.03,afterpay
97,362,07/31/2021,delivered,1,10,05/08/2021,15/08/2021,3.72,afterpay
98,10,2024-06-16,shipped,4,9,2024-06-17,2024-07-01,15.83,credit_card
99,27,2022-09-16,pending,3,12,09/19/2022,25/09/2022,8.0,paypal
100,242,28/07/2022,delivered,4,6,07/29/2022,08/05/2022,2.79,credit_card
101,415,2023-01-11,delivered,2,11,2023-01-16,25/01/2023,14.61,debit_card
102,361,02/07/2023,pending,3,12,03/07/2023,2023-07-12,19.02,apple_pay
103,365,2022-06-02,delivered,2,2,05/06/2022,06/11/2022,1.69,credit_card
104,496,2021-09-22,delivered,2,4,23/09/2021,2021-10-03,9.94,apple_pay
105,197,2024-02-26,cancelled,2,1,03/01/2024,03/11/2024,5.45,debit_card
106,152,21/12/2024,delivered,1,9,12/26/2024,2024-12-28,0.98,credit_card
107,128,03/07/2022,delivered,2,10,08/03/2022,2022-03-09,8.11,apple_pay
108,151,2022-10-27,pending,2,5,2022-10-28,11/11/2022,24.29,credit_card
109,325,2024-05-22,delivered,3,5,24/05/2024,2024-06-07,15.75,paypal
110,76,2023-09-09,pending,1,3,09/13/2023,16/09/2023,12.26,debit_card
111,419,19/03/2023,delivered,1,7,2023-03-24,2023-03-28,22.73,afterpay
112,197,2021-02-12,pending,1,3,2021-02-13,2021-02-26,2.09,apple_pay
113,377,25/11/2022,delivered,1,10,2022-11-26,11/30/2022,20.39,credit_card
114,279,2021-09-10,pending,1,9,11/09/2021,09/13/2021,111.22,credit_card
115,147,04/08/2022,delivered,1,2,04/12/2022,2022-04-23,24.77,apple_pay
116,171,08/31/2021,delivered,2,7,09/01/2021,09/02/2021,14.99,credit_card
117,139,20/10/2023,delivered,2,13,10/23/2023,28/10/2023,0.05,afterpay
118,229,09/07/2023,pending,2,5,09/08/2023,2023-09-18,8.08,afterpay
119,247,2024-11-21,cancelled,2,13,26/11/2024,2024-12-09,23.04,credit_card
120,9571,2023-05-14,delivered,2,4,19/05/2023,2023-06-01,149.7,credit_card
121,467,2022-12-17,delivered,1,9,19/12/2022,2022-12-24,22.82,credit_card
122,361,21/10/2021,cancelled,3,1,2021-10-22,03/11/2021,16.57,paypal
123,73,06/11/2021,shipped,1,7,2021-06-12,2021-06-13,4.56,credit_card
124,9852,2023-06-29,delivered,1,,2023-06-30,07/05/2023,18.78,apple_pay
125,257,2022-09-19,delivered,3,2,21/09/2022,2022-09-28,24.45,debit_card
126,422,02/20/2024,delivered,4,6,2024-02-21,06/03/2024,10.13,paypal
127,56,2021-08-02,pending,3,1,08/05/2021,15/08/2021,4.07,apple_pay
128,104,2024-07-31,pending,1,10,08/02/2024,2024-08-07,24.66,paypal
129,385,2022-08-02,cancelled,4,12,07/08/2022,2022-08-11,3.24,apple_pay
130,408,22/02/2023,cancelled,3,3,27/02/2023,13/03/2023,11.58,credit_card
131,83,2023-10-25,delivered,1,6,2023-10-30,2023-11-10,3.28,debit_card
132,107,2024-06-04,delivered,4,2,2024-06-05,2024-06-08,3.57,afterpay
133,161,2021-12-14,delivered,3,6,12/16/2021,2021-12-18,4.48,credit_card
134,474,10/15/2021,pending,1,5,10/20/2021,10/28/2021,21.43,credit_card
135,350,2023-04-27,delivered,2,1,01/05/2023,2023-05-06,16.1,paypal
136,193,2021-11-21,delivered,4,8,2021-11-25,2021-12-09,8.72,debit_card
137,375,2021-08-10,cancelled,1,6,08/14/2021,2021-08-18,15.11,credit_card
138,280,2021-11-15,cancelled,1,1,2021-11-17,28/11/2021,19.36,credit_card
139,109,2021-02-16,delivered,2,2,2021-02-20,25/02/2021,6.85,credit_card
140,458,2022-06-16,shipped,4,6,2022-06-17,19/06/2022,7.42,credit_card
141,224,28/12/2022,delivered,1,13,01/02/2023,01/09/2023,4.96,credit_card
142,78,29/07/2023,shipped,1,11,2023-08-02,2023-08-16,122.53,credit_card
143,112,2022-01-20,cancelled,4,4,01/25/2022,02/07/2022,23.81,credit_card
144,155,09/21/2022,delivered,4,7,2022-09-22,04/10/2022,8.81,afterpay
145,220,2023-02-04,shipped,4,7,2023-02-09,2023-02-19,16.49,credit_card
146,333,2021-02-03,delivered,1,10,02/07/2021,2021-02-09,2.49,debit_card
147,115,2023-07-21,delivered,4,2,2023-07-25,07/27/2023,19.84,debit_card
148,260,2022-08-04,delivered,1,7,07/08/2022,08/12/2022,0.1,apple_pay
149,420,2024-05-13,delivered,4,4,2024-05-16,19/05/2024,9.78,credit_card
150,200,2021-12-22,cancelled,2,2,12/25/2021,03/01/2022,3.16,paypal
151,105,2021-07-10,pending,2,1,11/07/2021,2021-07-08,13.59,credit_card
152,324,01/04/2023,shipped,3,4,2023-01-06,01/17/2023,6.13,credit_card
153,479,10/22/2021,delivered,1,2,23/10/2021,2021-11-03,23.18,credit_card
154,254,2023-01-11,shipped,1,7,01/15/2023,2023-01-17,23.98,debit_card
155,93,2022-09-04,pending,1,1,06/09/2022,09/17/2022,8.57,credit_card
156,99,26/05/2024,pending,1,3,31/05/2024,2024-06-01,9.12,credit_card
157,355,2021-09-17,delivered,1,6,2021-09-20,28/09/2021,16.3,paypal
158,89,2022-02-10,delivered,1,13,2022-02-13,2022-02-20,4.14,apple_pay
159,383,11/07/2022,delivered,4,4,2022-07-16,07/18/2022,9.35,apple_pay
160,210,25/08/2022,delivered,1,3,08/30/2022,09/05/2022,10.73,debit_card
161,400,2022-10-06,pending,2,6,2022-10-07,10/13/2022,14.19,apple_pay
162,109,2023-12-16,shipped,1,13,12/17/2023,12/26/2023,1.87,debit_card
163,101,2021-04-12,cancelled,4,2,04/16/2021,2021-04-17,4.28,credit_card
164,402,2024-03-25,pending,4,1,2024-03-29,2024-04-03,22.95,afterpay
165,371,2022-09-09,delivered,1,9,2022-09-12,2022-09-25,12.35,paypal
166,481,19/06/2024,pending,1,3,2024-06-20,24/06/2024,8.07,credit_card
167,462,2023-01-26,delivered,3,13,01/27/2023,08/02/2023,1.2,debit_card
168,299,2023-08-02,pending,1,10,04/08/2023,2023-08-10,24.15,credit_card
169,251,29/07/2022,delivered,1,5,2022-08-02,2022-08-06,8.83,afterpay
170,31,03/12/2022,pending,2,8,03/14/2022,2022-03-22,5.22,credit_card
171,79,10/31/2023,pending,4,8,2023-11-02,06/11/2023,12.84,credit_card
172,158,2024-03-28,delivered,1,12,2024-03-29,04/01/2024,0.41,paypal
173,61,2024-02-02,pending,4,9,2024-02-05,2024-02-12,8.34,debit_card
174,151,2022-01-23,cancelled,1,8,25/01/2022,2022-02-04,2.73,credit_card
175,459,2021-03-15,delivered,1,5,18/03/2021,03/22/2021,15.51,afterpay
176,106,2021-12-17,shipped,1,5,12/20/2021,31/12/2021,2.36,debit_card
177,162,10/27/2024,pending,4,3,2024-10-29,01/11/2024,16.65,credit_card
178,390,01/20/2021,delivered,4,4,23/01/2021,31/01/2021,1.13,debit_card
179,397,07/12/2021,pending,4,8,2021-07-15,2021-07-28,24.74,paypal
180,155,25/12/2024,delivered,1,10,2024-12-30,12/01/2025,6.75,credit_card
181,73,2023-01-02,cancelled,2,7,01/03/2023,2023-01-07,18.61,apple_pay
182,90,2022-06-28,delivered,4,5,2022-07-01,2022-07-07,1.03,apple_pay
183,496,12/12/2022,delivered,2,3,12/13/2022,2022-12-14,3.76,paypal
184,34,2022-08-27,pending,1,10,08/31/2022,01/09/2022,117.61,paypal
185,450,08/04/2022,delivered,2,5,09/08/2022,2022-08-12,18.33,afterpay
186,478,12/28/2022,shipped,1,5,01/01/2023,08/01/2023,14.93,paypal
187,70,2023-05-03,delivered,3,10,2023-05-05,10/05/2023,11.53,apple_pay
188,227,2024-11-22,delivered,4,6,2024-11-27,2024-12-08,10.51,debit_card
189,315,12/09/2022,shipped,1,9,2022-09-17,2022-09-26,21.95,afterpay
190,414,11/27/2023,cancelled,1,11,2023-11-28,2023-11-30,14.86,credit_card
191,300,13/10/2024,delivered,2,9,10/14/2024,10/26/2024,12.38,credit_card
192,480,2021-01-14,cancelled,1,1,2021-01-19,2021-01-31,22.0,apple_pay
193,228,2023-03-12,pending,2,4,2023-03-13,18/03/2023,13.67,credit_card
194,12,2022-01-14,shipped,2,9,01/16/2022,01/19/2022,12.01,afterpay
195,198,2024-11-29,pending,2,1,2024-12-03,2024-12-10,3.0,paypal
196,493,2021-10-13,cancelled,3,9,2021-10-17,16/10/2021,12.58,credit_card
197,78,2022-12-22,delivered,1,13,2022-12-27,2023-01-02,19.62,afterpay
198,311,09/11/2024,shipped,1,11,2024-09-16,2024-09-28,3.24,credit_card
199,16,22/11/2021,shipped,2,8,2021-11-23,04/12/2021,5.79,credit_card
200,457,2023-02-26,cancelled,1,1,27/02/2023,02/28/2023,1.82,credit_card
201,358,10/07/2023,cancelled,2,4,2023-07-12,23/07/2023,10.94,credit_card
202,299,19/02/2021,delivered,2,1,2021-02-20,24/02/2021,10.2,debit_card
203,293,2023-08-29,delivered,1,3,01/09/2023,09/07/2023,10.97,credit_card
204,61,10/19/2023,shipped,1,4,2023-10-20,30/10/2023,7.25,paypal
205,39,2023-12-31,delivered,1,9,01/02/2024,2024-01-16,15.47,credit_card
206,174,2023-05-14,delivered,1,3,16/05/2023,2023-05-22,20.42,credit_card
207,413,29/02/2024,delivered,4,10,03/01/2024,2024-03-07,23.23,credit_card
208,19,2023-10-15,delivered,4,5,17/10/2023,2023-10-28,21.91,credit_card
209,351,2021-02-07,delivered,4,12,02/11/2021,02/12/2021,17.53,debit_card
210,176,2023-06-14,pending,1,4,2023-06-16,20/06/2023,18.81,credit_card
211,40,2021-04-27,shipped,3,6,2021-05-01,2021-05-04,22.26,credit_card
212,40,06/06/2021,delivered,2,6,06/11/2021,15/06/2021,21.47,apple_pay
213,458,02/07/2022,delivered,3,7,07/07/2022,07/16/2022,15.55,credit_card
214,284,2022-03-08,pending,2,1,2022-03-11,2022-03-23,17.46,credit_card
215,139,2022-07-24,delivered,1,1,2022-07-28,2022-08-02,15.24,debit_card
216,106,02/16/2023,shipped,3,1,02/20/2023,01/03/2023,8.7,credit_card
217,175,06/26/2024,cancelled,2,13,2024-06-30,2024-07-13,2.73,apple_pay
218,369,03/09/2024,delivered,4,12,2024-03-12,15/03/2024,5.96,apple_pay
219,152,2022-11-23,delivered,3,5,11/27/2022,11/28/2022,19.56,paypal
220,434,2022-01-02,cancelled,4,1,2022-01-06,01/07/2022,12.01,apple_pay
221,283,2022-10-06,pending,1,5,10/10/2022,2022-10-13,12.37,credit_card
222,20,01/13/2022,delivered,3,1,2022-01-18,02/01/2022,5.7,apple_pay
223,368,2021-04-02,delivered,1,8,2021-04-04,2021-04-10,1.94,paypal
224,74,02/20/2021,delivered,4,11,2021-02-25,03/10/2021,23.56,debit_card
225,467,25/04/2024,pending,3,9,2024-04-26,2024-05-06,18.55,credit_card
226,372,2021-11-04,cancelled,2,10,2021-11-05,2021-11-07,14.36,credit_card
227,269,02/12/2023,cancelled,1,5,2023-12-05,12/10/2023,8.22,credit_card
228,498,2021-08-25,delivered,4,6,27/08/2021,2021-09-04,14.01,afterpay
229,118,03/12/2024,shipped,4,11,2024-03-17,2024-03-21,3.45,afterpay
230,216,11/01/2023,shipped,1,4,2023-11-06,2023-11-14,21.91,debit_card
231,446,11/03/2021,cancelled,1,3,2021-03-12,24/03/2021,13.23,credit_card
232,151,2021-09-01,delivered,1,12,2021-09-04,2021-09-14,18.47,paypal
233,388,09/05/2023,delivered,1,10,2023-09-07,2023-09-19,23.42,paypal
